"","OTU","kingdom","phylum","class","order","family","genus","species","s.APEIME","s.CHRYCA","s.CORDAL","s.DYPTE","s.HEISCO","s.LACPA","s.THEOCA","index","stat","p.value","p.value.bh"
"15","OTU_26","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Mycosphaerellaceae","Septoria","Septoria_sp",1,0,0,0,0,0,0,1,0.409190026830949,0.02,0.174814814814815
"16","OTU_32","Fungi","Ascomycota","Dothideomycetes","Botryosphaeriales","Phyllostictaceae","Phyllosticta","Phyllosticta_capitalensis",0,0,0,1,0,0,0,4,0.405763756179537,0.042,0.222741573033708
"17","OTU_31","Fungi","Ascomycota","Sordariomycetes","Diaporthales","Diaporthaceae","Diaporthe","Diaporthe_longicolla",0,0,1,0,0,0,0,3,0.594143311085886,0.003,0.0674285714285714
"18","OTU_35","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Plectosphaerellaceae","Wallrothiella","Wallrothiella_subiculosa",0,0,0,1,0,0,0,4,0.472935468291194,0.009,0.128727272727273
"19","OTU_785","Fungi","Ascomycota","Sordariomycetes","Xylariales","unidentified","unidentified","Xylariales_sp",0,1,0,0,0,0,0,2,0.556948649495393,0.001,0.0337142857142857
"20","OTU_34","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Glomerellaceae","Colletotrichum","Colletotrichum_gigasporum",0,0,1,0,0,0,0,3,0.446615563514729,0.016,0.164173913043478
"21","OTU_50","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","Muscodor","Muscodor_sp",0,1,0,0,0,0,1,18,0.395328064499777,0.042,0.222741573033708
"22","OTU_42","Fungi","Ascomycota","Sordariomycetes","unidentified","unidentified","unidentified","Sordariomycetes_sp",0,0,0,0,0,1,0,6,0.427062725321131,0.039,0.22178313253012
"23","OTU_59","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Mycosphaerellaceae","Zasmidium","Zasmidium_sp",0,1,0,0,0,0,0,2,0.441780149319534,0.027,0.193090909090909
"24","OTU_62","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","Xylaria","Xylaria_sp",0,0,1,0,0,0,0,3,0.470917755965717,0.011,0.144222222222222
