#OTU ID,Expected,Observed_Tier1,EVEN_TIER,Pct,Pct_number,Code,Phylum,Species,Ratio
OTU_9,836.1100052,1566,T3,2.415362073,T_PCT3,CBS130337,Ascomycota,Fusarium torulosum,0.012895967
OTU_7,566.759131,0,T3,0,T_PCT3,CBS107930,Basidiomycota,Hericium abietis,0.008741561
OTU_24,1526.32162,413,T3,0.637001619,T_PCT3,CBS130859,Ascomycota,Hypocrea orientalis,0.023541631
OTU_21,6509.312792,826,T3,1.274003239,T_PCT3,CBS110123,Ascomycota,Lecanicillium muscarium,0.100398131
OTU_35,6509.312792,0,T3,0,T_PCT3,CBS110123,Ascomycota,Lecanicillium muscarium,0.100398131
OTU_17,1133.518262,814,T3,1.255494717,T_PCT3,CBS6001,Basidiomycota,Malassezia,0.017483123
OTU_42,2974.082569,194,T3,0.2992211,T_PCT3,CBS7744,Ascomycota,Metschnikowia agaves,0.04587156
OTU_5,2974.082569,3550,T3,5.475437649,T_PCT3,CBS7744,Ascomycota,Metschnikowia agaves,0.04587156
OTU_16,1739.557729,1565,T3,2.413819696,T_PCT3,CBS210.32,Zygomycota,Mortierella alpina,0.026830535
OTU_28,1705.88887,89,T3,0.137271535,T_PCT3,CBS122753,Ascomycota,Neophaeomoniella zymoides,0.026311234
OTU_4,6621.542323,14995,T3,23.12794016,T_PCT3,CBS251.37,Basidiomycota,Panaeolina foenisecii,0.102129133
OTU_23,1818.118401,548,T3,0.845222488,T_PCT3,CBS186.71,Ascomycota,Pestalotiopsis chamaeropis,0.028042236
OTU_2,263.7393976,1476,T3,2.276548161,T_PCT3,P3112,Basidiomycota,Pucciniomycotina,0.004067855
OTU_18,1593.659339,0,T3,0,T_PCT3,CBS352,Ascomycota,Schizosaccharomyces pombe,0.024580232
OTU_19,1593.659339,1344,T3,2.072954423,T_PCT3,CBS352,Ascomycota,Schizosaccharomyces pombe,0.024580232
OTU_31,1593.659339,0,T3,0,T_PCT3,CBS352,Ascomycota,Schizosaccharomyces pombe,0.024580232
OTU_34,1593.659339,0,T3,0,T_PCT3,CBS352,Ascomycota,Schizosaccharomyces pombe,0.024580232
OTU_40,1593.659339,0,T3,0,T_PCT3,CBS352,Ascomycota,Schizosaccharomyces pombe,0.024580232
OTU_46,1593.659339,0,T3,0,T_PCT3,CBS352,Ascomycota,Schizosaccharomyces pombe,0.024580232
OTU_48,1593.659339,0,T3,0,T_PCT3,CBS352,Ascomycota,Schizosaccharomyces pombe,0.024580232
OTU_37,1818.118401,0,T3,0,T_PCT3,CBS116499,Ascomycota,Seimatosporium lonicerae,0.051064566
OTU_39,3310.771162,0,T3,0,T_PCT3,CBS116499,Ascomycota,Seimatosporium lonicerae,0.051064566
OTU_6,3310.771162,3524,T3,5.435335853,T_PCT3,CBS116499,Ascomycota,Seimatosporium lonicerae,0.051064566
OTU_12,583.5935607,348,T3,0.536747127,T_PCT3,CBS408.71,Basidiomycota,Sparassis crispa,0.009001212
OTU_36,5134.501039,62,T3,0.095627362,T_PCT3,CBS107.57,Basidiomycota,Suillus brevipes,0.079193353
OTU_26,1200.855981,0,T3,0,T_PCT3,CBS6965,Basidiomycota,Tremella aurantia,0.018521724
OTU_8,1200.855981,2026,T3,3.124855402,T_PCT3,CBS6965,Basidiomycota,Tremella aurantia,0.018521724
OTU_38,589.2050372,0,T3,0,T_PCT3,CBS119120,Ascomycota,Trichoderma theobromicola,0.009087762
OTU_55,589.2050372,0,T3,0,T_PCT3,CBS119120,Ascomycota,Trichoderma theobromicola,0.009087762
OTU_47,1447.760949,5,T3,0.007711884,T_PCT3,CBS385.35,Ascomycota,Xylaria mali,0.022329929
OTU_10,0,0,T3,0,T_PCT3,,,,
OTU_25,0,81,T3,0.124932521,T_PCT3,,,,
OTU_44,0,2,T3,0.003084754,T_PCT3,,,,
OTU_1,4362.455427,25753,E1,26.0576135,E_PCT1,CBS158.61,Ascomycota,Acremonium kiliense,0.044140557
OTU_10,0,0,E1,0,E_PCT1,,,,
OTU_11,4447.993768,493,E1,0.498831338,E_PCT1,CBS121445,Ascomycota,Coniochaeta prunicola,0.045006059
OTU_12,889.5987537,3197,E1,3.234814987,E_PCT1,CBS408.71,Basidiomycota,Sparassis crispa,0.009001212
OTU_13,786.9527436,4099,E1,4.147484089,E_PCT1,CBS161.73,Ascomycota,Epicoccum nigrum,0.00796261
OTU_14,786.9527436,0,E1,0,E_PCT1,CBS161.73,Ascomycota,Epicoccum nigrum,0.00796261
OTU_15,2309.535226,2016,E1,2.039845797,E_PCT1,CBS388.52,Ascomycota,Botryotinia sp.,0.02336853
OTU_16,2651.688593,910,E1,0.920763728,E_PCT1,CBS210.32,Zygomycota,Mortierella alpina,0.026830535
OTU_17,1727.874502,1484,E1,1.501553156,E_PCT1,CBS6001,Basidiomycota,Malassezia,0.017483123
OTU_18,2429.288904,0,E1,0,E_PCT1,CBS352,Ascomycota,Schizosaccharomyces pombe,0.024580232
OTU_19,2429.288904,237,E1,0.239803301,E_PCT1,CBS352,Ascomycota,Schizosaccharomyces pombe,0.024580232
OTU_2,402.030206,27082,E1,27.40233328,E_PCT1,P3112,Basidiomycota,Pucciniomycotina,0.004067855
OTU_20,1082.060023,1436,E1,1.452985399,E_PCT1,CBS124948,Ascomycota,Colletotrichum tropicale,0.010948589
OTU_21,9922.447637,353,E1,0.35717538,E_PCT1,CBS110123,Ascomycota,Lecanicillium muscarium,0.100398131
OTU_22,4447.993768,657,E1,0.664771175,E_PCT1,CBS197.82,Ascomycota,Dendrothyrium variisporum,0.045006059
OTU_23,2771.442271,210,E1,0.212483937,E_PCT1,CBS186.71,Ascomycota,Pestalotiopsis chamaeropis,0.028042236
OTU_24,2326.642894,396,E1,0.400683996,E_PCT1,CBS130859,Ascomycota,Hypocrea orientalis,0.023541631
OTU_25,0,821,E1,0.830711012,E_PCT1,,,,
OTU_26,1830.520512,0,E1,0,E_PCT1,CBS6965,Basidiomycota,Tremella aurantia,0.018521724
OTU_27,1317.290462,484,E1,0.489724884,E_PCT1,CBS100462,Ascomycota,Cladosporium sphaerospermum,0.013328717
OTU_28,2600.365588,147,E1,0.148738756,E_PCT1,CBS122753,Ascomycota,Neophaeomoniella zymoides,0.026311234
OTU_29,4447.993768,0,E1,0,E_PCT1,CBS121445,Ascomycota,Coniochaeta prunicola,0.045006059
OTU_3,5645.530552,0,E1,0,E_PCT1,CBS675.73,Chytridiomycota,Chytridium confervae,0.057123074
OTU_30,1274.521291,0,E1,0,E_PCT1,CBS130337,Ascomycota,Fusarium torulosum,0.012895967
OTU_31,2429.288904,0,E1,0,E_PCT1,CBS352,Ascomycota,Schizosaccharomyces pombe,0.024580232
OTU_32,4447.993768,0,E1,0,E_PCT1,CBS121445,Ascomycota,Coniochaeta prunicola,0.045006059
OTU_33,2309.535226,0,E1,0,E_PCT1,CBS388.52,Ascomycota,Botryotinia sp.,0.02336853
OTU_34,2429.288904,0,E1,0,E_PCT1,CBS352,Ascomycota,Schizosaccharomyces pombe,0.024580232
OTU_35,9922.447637,0,E1,0,E_PCT1,CBS110123,Ascomycota,Lecanicillium muscarium,0.100398131
