OTU_ID,Code,Phylum,Species,Ratio,EVEN_TIER,Pct_number,Pct,Expected,Observed,log10Expected,log10Observed
OTU_8,CBS6965,Basidiomycota,Tremella aurantia,0.018521724,T3,T_PCT3,3.124855402,1200.855981,2026,3.079490925,3.306639441
OTU_1,CBS158.61,Ascomycota,Acremonium kiliense,0.044140557,E1,E_PCT1,26.0576135,4362.455427,25753,3.639731003,4.410827828
OTU_11,CBS121445,Ascomycota,Coniochaeta prunicola,0.045006059,E1,E_PCT1,0.498831338,4447.993768,493,3.64816417,2.692846919
OTU_12,CBS408.71,Basidiomycota,Sparassis crispa,0.009001212,E1,E_PCT1,3.234814987,889.5987537,3197,2.949194166,3.504742636
OTU_13,CBS161.73,Ascomycota,Epicoccum nigrum,0.00796261,E1,E_PCT1,4.147484089,786.9527436,4099,2.895948654,3.612677918
OTU_15,CBS388.52,Ascomycota,Botryotinia sp.,0.02336853,E1,E_PCT1,2.039845797,2309.535226,2016,3.363524591,3.304490528
OTU_16,CBS210.32,Zygomycota,Mortierella alpina,0.026830535,E1,E_PCT1,0.920763728,2651.688593,910,3.42352252,2.959041392
OTU_17,CBS6001,Basidiomycota,Malassezia,0.017483123,E1,E_PCT1,1.501553156,1727.874502,1484,3.237512196,3.171433901
OTU_19,CBS352,Ascomycota,Schizosaccharomyces pombe,0.024580232,E1,E_PCT1,0.239803301,2429.288904,237,3.385479166,2.374748346
OTU_2,P3112,Basidiomycota,Pucciniomycotina,0.004067855,E1,E_PCT1,27.40233328,402.030206,27082,2.604258684,4.432680734
OTU_20,CBS124948,Ascomycota,Colletotrichum tropicale,0.010948589,E1,E_PCT1,1.452985399,1082.060023,1436,3.034251352,3.15715444
OTU_21,CBS110123,Ascomycota,Lecanicillium muscarium,0.100398131,E1,E_PCT1,0.35717538,9922.447637,353,3.996618816,2.547774705
OTU_22,CBS197.82,Ascomycota,Dendrothyrium variisporum,0.045006059,E1,E_PCT1,0.664771175,4447.993768,657,3.64816417,2.81756537
OTU_23,CBS186.71,Ascomycota,Pestalotiopsis chamaeropis,0.028042236,E1,E_PCT1,0.212483937,2771.442271,210,3.442705837,2.322219295
OTU_24,CBS130859,Ascomycota,Hypocrea orientalis,0.023541631,E1,E_PCT1,0.400683996,2326.642894,396,3.36672973,2.597695186
