"OTU_ID","Even_Tier","Observed","Expected","Relative_Abundance","log10Expected","log10Observed"
"OTU_27","E3",433,5.771334461,0.419252703841052,0.761276243318839,2.63648789635337
"OTU_23","T1",645,18.08724222,0.592907175555678,1.25737235459126,2.80955971463527
"OTU_23","T2",785,22.01315526,0.962812147377717,1.34268229670125,2.89486965674525
"OTU_23","T3",785,22.01315526,0.962812147377717,1.34268229670125,2.89486965674525
"OTU_23","E1",369,10.347585084,0.360520556510864,1.01483900611506,2.56702636615906
"OTU_23","E2",182,5.103686952,0.177330877982715,0.707884027941071,2.26007138798507
"OTU_23","E3",377,10.571922972,0.365030645145673,1.02415399016179,2.57634135020579
"OTU_19","T1",2117,52.036351144,1.94602246612616,1.71630683566848,3.32572085801941
"OTU_19","T2",1868,45.915873376,2.29112495707207,1.66196284954314,3.27137687189407
"OTU_19","T3",1868,45.915873376,2.29112495707207,1.66196284954314,3.27137687189407
"OTU_19","E1",237,5.825514984,0.231553853368767,0.765334323659168,2.3747483460101
"OTU_19","E2",131,3.220010392,0.127639258328218,0.507857273304829,2.11727129565576
"OTU_19","E3",292,7.177427744,0.282729306054474,0.855968829097483,2.46538285144842
"OTU_28","T1",122,3.209970548,0.112146783593477,0.506501047700897,2.08635983067475
"OTU_28","T2",122,3.209970548,0.149634499337683,0.506501047700897,2.08635983067475
"OTU_28","T3",122,3.209970548,0.149634499337683,0.506501047700897,2.08635983067475
"OTU_28","E1",147,3.867751398,0.143622010317336,0.587458551774325,2.16731733474818
"OTU_28","E2",79,2.078587486,0.0769732931902994,0.31776830831659,1.89762709129044
"OTU_28","E3",169,4.446598546,0.163634427134267,0.648027921639822,2.22788670461367
"OTU_36","T1",68,5.385148004,0.0625080433143971,0.731197643834038,1.83250891270624
"OTU_36","T2",69,5.464341357,0.0846293479860668,0.737537821865057,1.83884909073726
"OTU_36","T3",69,5.464341357,0.0846293479860668,0.737537821865057,1.83884909073726
"OTU_36","E1",23,1.821447119,0.0224714710020322,0.260416567145394,1.36172783601759
"OTU_36","E2",18,1.425480354,0.0175382187015872,0.153961236231107,1.25527250510331
"OTU_36","E3",27,2.138220531,0.0261427782995575,0.330052495286789,1.43136376415899
"OTU_38","T1",7,0.063614334,0.00643465151765852,-1.19644501523677,0.845098040014257
"OTU_38","T2",10,0.09087762,0.0122651228965314,-1.04154305525103,1
"OTU_38","T3",10,0.09087762,0.0122651228965314,-1.04154305525103,1
"OTU_38","E1",24,0.218106288,0.0234484914803814,-0.661331813539426,1.38021124171161
