Species,Unique ID,E_load,Leaf_ID,Trial_date_ant,Colony_ID,Colony_location_Pipeline-Gamboa,Picture_ID,Time_start_trial,Attempt,Time_first_contact,Time_first_cut,Time_end_elapsed_trial,Trial_success,Leaf_area_initial,Leaf_area_final,Total_leaf_area_cut,Analyzer,Date_analyzed,X_coordinates,Y_coordinates,Elevation_meters
CHRYCA,T2_E-_CHRY_03,E-,D,7/8/2019,COL20,Gamboa,,1:17 PM,1,0:01:38,0:03:31,0:29:00,1,901.254,340.832,560.422,MD,1.14.20,,,
CHRYCA,T2_E-_CHRY_04,E+,D,7/8/2019,COL20,Gamboa,,1:17 PM,1,0:00:23,0:20:15,0:29:00,1,752.52,573.499,179.021,MD,1.14.20,,,
CHRYCA,T3_E-_CHRY_05,E-,D,7/10/2019,COL16,,,,1,0:01:45,0:56:11,2:00:00,1,842.188,486.102,356.086,MD,1.14.20,,,
CHRYCA,T3_E+_CHRY_06,E+,D,7/10/2019,COL16,,,,1,0:01:12,1:12:10,2:00:00,1,561.653,441.578,120.075,MD,1.14.20,,,
CHRYCA,T4_E-_CHRY_07,E-,D,7/10/2019,COL3,,,,2,0:10:24,,,0,,,,,,,,
CHRYCA,T4_E+_CHRY_08,E+,D,7/10/2019,COL3,,,,2,0:36:00,,,0,,,,,,,,
CHRYCA,T5_E-_CHRY_09,E-,D,7/11/2019,COL3,,,,1,0:08:18,0:25:39,1:36:58,1,1024.886,711.605,313.281,MD,1.14.20,,,
CHRYCA,T5_E+_CHRY_10,E+,D,7/11/2019,COL3,,,,1,0:03:53,0:10:44,1:36:58,1,1003.434,681.075,322.359,MD,1.14.20,,,
CHRYCA,T6_E-_CHRY_11,E-,D,7/11/2019,COL29,,,,1,0:00:05,0:00:20,0:10:10,1,617.744,442.654,175.09,MD,1.14.20,,,
CHRYCA,T6_E+_CHRY_12,E+,D,7/11/2019,COL29,,,,1,0:00:05,0:00:15,0:10:10,1,711.144,704.574,6.57,MD,1.14.20,,,
HEISCO,T1_E-_HEI_01,E-,D,7/17/2019,COL31,,,,1,0:03:05,0:18:59,1:02:00,1,694.032,136.138,557.894,MD,11.22.19,,,
HEISCO,T1_E+_HEI_02,E+,D,7/17/2019,COL31,,,,1,0:01:10,,1:02:00,1,731.767,731.767,0,MD,11.22.19,,,
HEISCO,T2_E-_HEI_03,E-,D,7/18/2019,COL14,,,,1,0:00:22,0:00:57,0:35:00,1,446.574,91.42,355.154,MD,11.22.19,,,
HEISCO,T2_E+_HEI_04,E+,D,7/18/2019,COL14,,,,1,0:02:04,0:06:00,0:35:00,1,485.54,159.704,325.836,MD,11.22.19,,,
HEISCO,T3_E-_HEI_05,E-,D,7/19/2019,COL33,,,,1,0:04:03,0:44:14,1:08:00,1,574.857,376.643,198.214,MD,11.22.19,,,
HEISCO,T3_E+_HEI_06,E+,D,7/19/2019,COL33,,,,1,0:03:49,0:16:05,1:08:00,1,844.844,150.62,694.224,MD,11.22.19,,,
HEISCO,T4_E-_HEI_07,E-,D,7/19/2019,COL37,,,,1,0:32:12,0:50:00,1:00:00,1,642.81,326.089,316.721,MD,11.22.19,,,
HEISCO,T4_E+_HEI_08,E+,D,7/19/2019,COL37,,,,1,0:02:00,0:42:35,1:00:00,1,826.028,290.668,535.36,MD,11.22.19,,,
